name,club,position,gw,target_date,target_points,role_minutes_per_team_match,role_appearance_rate,role_sixty_plus_rate,role_seventyfive_plus_rate,p90_aerial_duels,p90_assists,p90_big_chances_created,p90_big_chances_missed,p90_blocks,p90_box_touches,p90_chances,p90_clearances,p90_crosses,p90_def_actions,p90_dribbles,p90_final_third_passes,p90_goals,p90_goals_conceded,p90_goals_prevented,p90_ground_duels,p90_interceptions,p90_npxg,p90_recoveries,p90_saves,p90_saves_inside_box,p90_shots,p90_sot,p90_tackles,p90_xa,p90_xg,p90_xgot,p90_xgot_faced,pct_p90_aerial_duels,pct_p90_assists,pct_p90_big_chances_created,pct_p90_big_chances_missed,pct_p90_blocks,pct_p90_box_touches,pct_p90_chances,pct_p90_clearances,pct_p90_crosses,pct_p90_def_actions,pct_p90_dribbles,pct_p90_final_third_passes,pct_p90_goals,pct_p90_goals_conceded,pct_p90_goals_prevented,pct_p90_ground_duels,pct_p90_interceptions,pct_p90_npxg,pct_p90_recoveries,pct_p90_saves,pct_p90_saves_inside_box,pct_p90_shots,pct_p90_sot,pct_p90_tackles,pct_p90_xa,pct_p90_xg,pct_p90_xgot,pct_p90_xgot_faced,pct_ptm_aerial_duels,pct_ptm_assists,pct_ptm_big_chances_created,pct_ptm_big_chances_missed,pct_ptm_blocks,pct_ptm_box_touches,pct_ptm_chances,pct_ptm_clearances,pct_ptm_crosses,pct_ptm_def_actions,pct_ptm_dribbles,pct_ptm_final_third_passes,pct_ptm_goals,pct_ptm_goals_conceded,pct_ptm_goals_prevented,pct_ptm_ground_duels,pct_ptm_interceptions,pct_ptm_npxg,pct_ptm_recoveries,pct_ptm_saves,pct_ptm_saves_inside_box,pct_ptm_shots,pct_ptm_sot,pct_ptm_tackles,pct_ptm_xa,pct_ptm_xg,pct_ptm_xgot,pct_ptm_xgot_faced,pct_role_appearance_rate,pct_role_minutes_per_team_match,pct_role_seventyfive_plus_rate,pct_role_sixty_plus_rate,ptm_aerial_duels,ptm_assists,ptm_big_chances_created,ptm_big_chances_missed,ptm_blocks,ptm_box_touches,ptm_chances,ptm_clearances,ptm_crosses,ptm_def_actions,ptm_dribbles,ptm_final_third_passes,ptm_goals,ptm_goals_conceded,ptm_goals_prevented,ptm_ground_duels,ptm_interceptions,ptm_npxg,ptm_recoveries,ptm_saves,ptm_saves_inside_box,ptm_shots,ptm_sot,ptm_tackles,ptm_xa,ptm_xg,ptm_xgot,ptm_xgot_faced,role_appearances,role_minute_exposure,role_minutes,score_attack_broad_p90,score_attack_broad_p90_exposure,score_attack_broad_ptm,score_attack_core_p90,score_attack_core_p90_exposure,score_attack_core_ptm,score_defense_core_p90,score_defense_core_p90_exposure,score_defense_core_ptm,score_fantasy_two_way_p90,score_fantasy_two_way_p90_exposure,score_fantasy_two_way_ptm,score_keeper_activity_p90,score_keeper_activity_p90_exposure,score_keeper_activity_ptm,score_two_way_p90,score_two_way_p90_exposure,score_two_way_ptm,target_fotmob_match_id,target_game_id
Angelina Anderson,LA,GK,6,2026-04-26T22:00:00+00:00,2.0,90.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,1.25,0.0,1.5,0.0,1.0,-0.1,0.25,0.0,0.0,7.25,2.5,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.9,88.889,50.0,50.0,50.0,50.0,50.0,44.444,61.111,50.0,61.111,50.0,38.889,50.0,33.333,16.667,83.333,50.0,50.0,38.889,22.222,27.778,44.444,44.444,50.0,27.778,44.444,44.444,16.667,88.889,50.0,50.0,50.0,50.0,50.0,44.444,61.111,50.0,61.111,50.0,38.889,50.0,38.889,16.667,83.333,50.0,50.0,50.0,33.333,38.889,44.444,44.444,50.0,27.778,44.444,44.444,27.778,61.111,61.111,61.111,61.111,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,1.25,0.0,1.5,0.0,1.0,-0.09999999999999999,0.25,0.0,0.0,7.25,2.5,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.9,4,1.0,360.0,,,,,,,,,,,,,20.278,20.278,28.611,,,,5161494,lapor
Angelina Anderson,LA,GK,7,2026-05-03T00:45:00+00:00,3.0,90.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,1.5,0.0,2.25,0.0,1.5,-0.16,0.25,0.0,0.0,6.75,3.25,1.75,0.0,0.0,0.25,0.0,0.0,0.0,1.34,77.273,50.0,50.0,50.0,50.0,50.0,45.455,81.818,50.0,86.364,45.455,54.545,50.0,72.727,31.818,63.636,50.0,50.0,31.818,86.364,54.545,45.455,45.455,95.455,36.364,45.455,45.455,59.091,77.273,50.0,50.0,50.0,50.0,50.0,45.455,81.818,50.0,86.364,45.455,63.636,50.0,72.727,31.818,63.636,50.0,50.0,40.909,86.364,54.545,45.455,45.455,95.455,36.364,45.455,45.455,59.091,54.545,54.545,54.545,54.545,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,1.5,0.0,2.25,0.0,1.5,-0.16,0.25,0.0,0.0,6.75,3.25,1.75,0.0,0.0,0.25,0.0,0.0,0.0,1.34,4,1.0,360.0,,,,,,,,,,,,,61.136,61.136,61.136,,,,5161503,lauta
Angelina Anderson,LA,GK,9,2026-05-17T22:00:00+00:00,6.0,90.0,1.0,1.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,5.0,0.0,1.75,-0.195,0.25,0.0,0.0,7.5,3.75,1.5,0.0,0.0,0.25,0.0,0.0,0.0,1.555,37.5,50.0,50.0,50.0,50.0,50.0,43.75,50.0,50.0,56.25,43.75,93.75,50.0,75.0,31.25,31.25,50.0,50.0,6.25,75.0,50.0,50.0,50.0,87.5,50.0,50.0,50.0,43.75,37.5,50.0,50.0,50.0,50.0,50.0,43.75,50.0,50.0,56.25,43.75,93.75,50.0,75.0,31.25,31.25,50.0,50.0,6.25,75.0,50.0,50.0,50.0,87.5,50.0,50.0,50.0,43.75,50.0,50.0,50.0,50.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,5.0,0.0,1.75,-0.195,0.25,0.0,0.0,7.5,3.75,1.5,0.0,0.0,0.25,0.0,0.0,0.0,1.555,4,1.0,360.0,,,,,,,,,,,,,52.5,52.5,52.5,,,,5161524,porla
Angelina Anderson,LA,GK,10,2026-05-24T00:45:00+00:00,2.0,90.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,-0.0075000000000000205,0.0,0.0,0.0,8.25,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9924999999999998,16.667,50.0,50.0,50.0,50.0,50.0,38.889,16.667,50.0,16.667,50.0,77.778,50.0,55.556,5.556,27.778,50.0,50.0,16.667,38.889,33.333,50.0,50.0,50.0,44.444,50.0,50.0,27.778,16.667,50.0,50.0,50.0,50.0,50.0,38.889,16.667,50.0,16.667,50.0,77.778,50.0,66.667,5.556,27.778,50.0,50.0,27.778,50.0,33.333,50.0,50.0,50.0,44.444,50.0,50.0,38.889,61.111,61.111,61.111,61.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,-0.0075000000000000205,0.0,0.0,0.0,8.25,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9924999999999999,4,1.0,360.0,,,,,,,,,,,,,26.945,26.945,33.611,,,,5161532,houla
Angelina Anderson,LA,GK,11,2026-05-31T23:00:00+00:00,1.0,90.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,1.75,0.0,1.25,-0.09000000000000001,0.0,0.0,0.0,8.0,2.75,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.16,33.333,50.0,50.0,50.0,50.0,50.0,38.889,33.333,50.0,33.333,44.444,72.222,50.0,55.556,27.778,22.222,50.0,50.0,61.111,50.0,55.556,50.0,50.0,38.889,38.889,50.0,50.0,38.889,33.333,50.0,50.0,50.0,50.0,50.0,38.889,38.889,50.0,38.889,44.444,72.222,50.0,66.667,16.667,22.222,50.0,50.0,72.222,61.111,66.667,50.0,50.0,38.889,38.889,50.0,50.0,50.0,66.667,66.667,66.667,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,1.75,0.0,1.25,-0.09000000000000002,0.0,0.0,0.0,8.0,2.75,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.16,4,1.0,360.0,,,,,,,,,,,,,42.5,42.5,48.056,,,,5161543,lanc
Angelina Anderson,LA,GK,12,2026-07-04T02:00:00+00:00,6.0,90.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,2.25,0.0,1.25,0.06250000000000001,0.0,0.0,0.0,8.25,2.5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.3125,37.5,50.0,50.0,50.0,50.0,50.0,37.5,37.5,50.0,37.5,50.0,68.75,50.0,56.25,31.25,12.5,50.0,50.0,37.5,31.25,18.75,50.0,50.0,37.5,37.5,50.0,50.0,43.75,37.5,50.0,50.0,50.0,50.0,50.0,37.5,37.5,50.0,37.5,50.0,68.75,50.0,62.5,43.75,12.5,50.0,50.0,50.0,50.0,31.25,50.0,50.0,37.5,37.5,50.0,50.0,56.25,62.5,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,2.25,0.0,1.25,0.06250000000000001,0.0,0.0,0.0,8.25,2.5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.3125,4,1.0,360.0,,,,,,,,,,,,,32.5,32.5,47.188,,,,5161546,laorl
Angelina Anderson,LA,GK,14,2026-07-18T22:30:00+00:00,7.0,90.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.75,0.0,1.0,0.3275,0.0,0.0,0.0,8.0,3.25,1.75,0.0,0.0,0.0,0.0,0.0,0.0,1.3275000000000001,85.0,50.0,50.0,50.0,50.0,50.0,40.0,60.0,50.0,60.0,50.0,35.0,50.0,45.0,45.0,30.0,50.0,50.0,20.0,45.0,10.0,50.0,50.0,50.0,35.0,50.0,50.0,35.0,85.0,50.0,50.0,50.0,50.0,50.0,40.0,65.0,50.0,65.0,50.0,35.0,50.0,50.0,45.0,30.0,50.0,50.0,20.0,55.0,20.0,50.0,50.0,50.0,35.0,50.0,50.0,35.0,60.0,60.0,60.0,60.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.75,0.0,1.0,0.3275,0.0,0.0,0.0,8.0,3.25,1.75,0.0,0.0,0.0,0.0,0.0,0.0,1.3275000000000001,4,1.0,360.0,,,,,,,,,,,,,37.25,37.25,42.25,,,,5161566,chila
Angelina Anderson,LA,GK,17,2026-08-10T01:00:00+00:00,2.0,90.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.75,0.9575,0.25,0.0,0.0,9.5,5.25,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.7075,30.0,45.0,50.0,50.0,50.0,50.0,35.0,25.0,50.0,25.0,40.0,25.0,50.0,25.0,95.0,35.0,50.0,50.0,55.0,85.0,85.0,50.0,50.0,45.0,30.0,50.0,50.0,55.0,30.0,45.0,50.0,50.0,50.0,50.0,35.0,25.0,50.0,25.0,40.0,25.0,50.0,25.0,95.0,35.0,50.0,50.0,55.0,85.0,85.0,50.0,50.0,45.0,30.0,50.0,50.0,55.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.75,0.9575,0.25,0.0,0.0,9.5,5.25,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.7075,4,1.0,360.0,,,,,,,,,,,,,80.0,80.0,80.0,,,,5161597,seala
Angelina Anderson,LA,GK,18,2026-08-17T01:00:00+00:00,2.0,90.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,1.0,0.0,1.25,0.5525,0.25,0.0,0.0,9.25,4.75,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8025,22.222,44.444,50.0,50.0,50.0,50.0,33.333,5.556,50.0,5.556,50.0,22.222,50.0,44.444,72.222,61.111,50.0,50.0,83.333,83.333,83.333,50.0,50.0,44.444,27.778,50.0,50.0,50.0,22.222,44.444,50.0,50.0,50.0,50.0,33.333,5.556,50.0,5.556,50.0,22.222,50.0,44.444,72.222,61.111,50.0,50.0,83.333,83.333,83.333,50.0,50.0,44.444,27.778,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,1.0,0.0,1.25,0.5525,0.25,0.0,0.0,9.25,4.75,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8025,4,1.0,360.0,,,,,,,,,,,,,72.222,72.222,72.222,,,,5161605,lawas
Angelina Anderson,LA,GK,19,2026-08-24T00:00:00+00:00,12.0,90.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.5,0.42000000000000004,0.25,0.0,0.0,9.5,4.5,2.75,0.0,0.0,0.0,0.0,0.0,0.0,1.9199999999999997,30.0,40.0,50.0,50.0,50.0,50.0,30.0,15.0,50.0,15.0,45.0,35.0,50.0,55.0,95.0,45.0,50.0,50.0,80.0,90.0,85.0,50.0,50.0,50.0,25.0,50.0,50.0,65.0,30.0,40.0,50.0,50.0,50.0,50.0,30.0,15.0,50.0,15.0,45.0,35.0,50.0,55.0,95.0,45.0,50.0,50.0,85.0,90.0,85.0,50.0,50.0,50.0,25.0,50.0,50.0,65.0,65.0,65.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.5,0.42000000000000004,0.25,0.0,0.0,9.5,4.5,2.75,0.0,0.0,0.0,0.0,0.0,0.0,1.92,4,1.0,360.0,,,,,,,,,,,,,84.25,84.25,84.25,,,,5161615,lagfc
